,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
105,1966,88.0,CIN,Freddie Lewis,Arizona State University,11,64,886,373,91,96,0.401,0.0,0.7709999999999999,13.8,5.8,1.4,1.5,0.6,0.031,-5.0,-0.4
106,1966,89.0,LAL,Mike Rooney,University of Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1966,90.0,PHI,Bob Bedell,Stanford University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1966,91.0,CHI,Don Swanson,DePaul University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1966,92.0,NYK,Rich Dyer,New York University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1966,93.0,STL,Curt Gammell,Pacific Lutheran University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1966,94.0,BAL,Stan McKenzie,New York University,7,396,7479,3579,1117,611,0.444,0.0,0.802,18.9,9.0,2.8,1.5,14.5,0.09300000000000001,-8.5,-0.2
114,1966,95.0,CIN,R.B. Lynam,Oklahoma Baptist University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1966,96.0,LAL,George Grams,Purdue University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1966,97.0,CHI,Carver Clinton,Pennsylvania State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1966,98.0,NYK,Dave Deutsch,University of Rochester,1,19,93,21,21,15,0.16699999999999998,0.0,0.45,4.9,1.1,1.1,0.8,-0.5,-0.24,0.0,0.0
120,1966,99.0,STL,Lonnie Lynn,Wilberforce University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1966,100.0,BAL,Grant Simmons,University of Nebraska,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1966,101.0,NYK,Bob Bennett,University of North Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1966,102.0,STL,Nick Aloi,Bowling Green State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1966,103.0,BAL,Al Lopes,University of Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1966,104.0,STL,Ollie Carter,University of San Francisco,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1966,105.0,BAL,Jim Harter,University of Texas-Pan American,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1966,106.0,STL,Paul Long,Wake Forest University,4,71,436,274,57,54,0.46399999999999997,0.0,0.753,6.1,3.9,0.8,0.8,1.0,0.111,0.0,0.0
134,1966,107.0,BAL,Howard Bayne,University of Tennessee,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1966,108.0,STL,Eddie Jackson,Bradley University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1966,109.0,BAL,Ken Barnes,University of Wisconsin,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1966,110.0,BAL,Chris Pervall,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1966,111.0,BAL,Jerry Trice,Weber State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1966,112.0,BAL,Gene Visscher,Weber State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1967,1.0,DET,Jimmy Walker,Providence College,9,698,23590,11655,1860,2429,0.461,0.0,0.8290000000000001,33.8,16.7,2.7,3.5,42.9,0.087,-1.7,0.7
149,1967,2.0,BAL,Earl Monroe,Winston-Salem State University,13,926,29636,17454,2796,3594,0.46399999999999997,0.0,0.807,32.0,18.8,3.0,3.9,77.4,0.125,0.0,7.1
150,1967,3.0,CHI,Clem Haskins,Western Kentucky University,9,681,17624,8743,2087,2382,0.449,0.0,0.792,25.9,12.8,3.1,3.5,35.8,0.09699999999999999,-1.4,0.5
151,1967,4.0,DET,Sonny Dove,St. John's University,2,57,398,174,114,23,0.39399999999999996,0.0,0.581,7.0,3.1,2.0,0.4,0.0,-0.003,0.0,0.0
152,1967,5.0,NYK,Walt Frazier,Southern Illinois University,13,825,30965,15581,4830,5040,0.49,0.0,0.7859999999999999,37.5,18.9,5.9,6.1,113.5,0.17600000000000002,4.1,20.9
153,1967,6.0,SEA,Al Tucker,Oklahoma Baptist University,4,257,5348,2431,1283,230,0.45299999999999996,0.0,0.7020000000000001,20.8,9.5,5.0,0.9,7.2,0.065,0.0,0.0
154,1967,7.0,SDR,Pat Riley,University of Kentucky,9,528,8187,3906,855,913,0.414,0.0,0.705,15.5,7.4,1.6,1.7,4.5,0.026000000000000002,-6.0,-3.2
155,1967,8.0,STL,Tom Workman,Seattle University,3,43,187,109,52,5,0.43200000000000005,0.0,0.711,4.3,2.5,1.2,0.1,0.4,0.107,0.0,0.0
156,1967,9.0,CIN,Mel Daniels,University of New Mexico,9,11,126,39,34,6,0.371,0.0,0.565,11.5,3.5,3.1,0.5,0.0,-0.002,-4.2,-0.1
157,1967,10.0,SFW,Dave Lattin,University of Texas at El Paso,2,112,1244,506,427,62,0.4,0.0,0.644,11.1,4.5,3.8,0.6,0.7,0.027999999999999997,0.0,0.0
158,1967,11.0,BOS,Mal Graham,New York University,2,70,889,327,118,75,0.39799999999999996,0.0,0.657,12.7,4.7,1.7,1.1,0.8,0.043,0.0,0.0
159,1967,12.0,PHI,Craig Raymond,Brigham Young University,1,27,177,55,68,8,0.344,0.0,0.647,6.6,2.0,2.5,0.3,0.0,-0.001,0.0,0.0
162,1967,13.0,BAL,Jimmy Jones,Grambling State University,10,140,2590,901,272,283,0.505,0.0,0.738,18.5,6.4,1.9,2.0,6.2,0.115,-0.4,1.0
163,1967,14.0,DET,Steve Sullivan,Georgetown University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1967,15.0,CHI,Byron Beck,University of Denver,10,53,480,250,96,33,0.435,0.0,0.818,9.1,4.7,1.8,0.6,0.8,0.078,-4.6,-0.3
165,1967,16.0,LAL,Randolph Mahaffey,Clemson University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1967,17.0,NYK,Phil Jackson,University of North Dakota,12,807,14201,5428,3454,898,0.45299999999999996,0.0,0.736,17.6,6.7,4.3,1.1,29.3,0.099,-0.5,3.3
167,1967,18.0,SDR,Bob Netolicky,Drake University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,1967,19.0,SEA,Bob Rule,Colorado State University,8,403,11862,7007,3333,594,0.461,0.0,0.6859999999999999,29.4,17.4,8.3,1.5,22.7,0.092,-3.5,-0.2
171,1967,20.0,BAL,Malkin Strong,Seattle University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1967,21.0,DET,Darrell Hardy,Baylor University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1967,22.0,CHI,John Dickson,Arkansas State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1967,23.0,LAL,Dwight Smith,Western Kentucky University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1967,24.0,NYK,Gary Gregor,University of South Carolina,5,296,7397,2905,2065,436,0.431,0.0,0.715,25.0,9.8,7.0,1.5,2.6,0.017,0.0,0.0
176,1967,25.0,STL,Bob Verga,Duke University,6,21,216,104,18,17,0.452,0.0,0.625,10.3,5.0,0.9,0.8,0.1,0.032,-5.2,-0.2
177,1967,26.0,CIN,Gary Gray,Oklahoma City University,1,44,276,105,23,26,0.366,0.0,0.7,6.3,2.4,0.5,0.6,-0.5,-0.09300000000000001,0.0,0.0
178,1967,27.0,SFW,Bill Turner,University of Akron,6,294,4060,1597,1039,167,0.40700000000000003,0.0,0.728,13.8,5.4,3.5,0.6,4.8,0.057,0.0,0.0
179,1967,28.0,CIN,Sam Smith,Kentucky Wesleyan College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1967,29.0,SDR,Richard Moore,Hiram Scott College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,1967,30.0,SEA,Sam Singleton,University of Nebraska at Omaha,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,1967,31.0,SDR,Nick Jones,University of Oregon,4,188,2264,1003,216,247,0.413,0.0,0.772,12.0,5.3,1.1,1.3,2.1,0.046,0.0,0.0
185,1967,32.0,BAL,Al Salvadori,University of South Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1967,33.0,DET,Ronald Franz,University of Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1967,34.0,CHI,Jim Burns,Northwestern University,1,3,11,4,2,1,0.28600000000000003,0.0,0.0,3.7,1.3,0.7,0.3,-0.1,-0.248,0.0,0.0
188,1967,35.0,LAL,Cliff Anderson,Saint Joseph's University,4,81,581,247,103,68,0.35100000000000003,0.0,0.593,7.2,3.0,1.3,0.8,0.3,0.021,0.0,0.0
189,1967,36.0,NYK,Keith Swagerty,University of the Pacific,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1967,37.0,STL,Wesley Bialosuknia,University of Connecticut,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1967,38.0,CIN,Louie Dampier,University of Kentucky,12,232,4431,1553,261,643,0.488,0.0,0.748,19.1,6.7,1.1,2.8,6.7,0.073,-3.2,-1.4
192,1967,39.0,SFW,Bobby Lewis,University of North Carolina,4,255,4303,1481,533,555,0.381,0.0,0.7120000000000001,16.9,5.8,2.1,2.2,1.1,0.012,0.0,0.0
193,1967,40.0,BOS,Neville Shedd,University of Texas at El Paso,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1967,41.0,SDR,Ronald Kozlicki,Northwestern University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,1967,42.0,SDR,Craig Dill,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1967,43.0,SEA,Larry Bunce,Utah State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
